playerId,name,fullName,nationality,role,battingHand,playerJsonBowlingType,playerJsonBowlingHand,playerJsonBowlingStyle,metadataFoundForSameId,metadataName,metadataCountry,metadataBowlingType,metadataBowlingHand,metadataBowlingStyle,hasCricsheetRegisterMatch,cricsheetId
524049,Najibullah Zadran,Najibullah Zadran,Afghanistan,batsman,left,spin,right,Off Break,yes,Najibullah Zadran,Afghanistan,spin,right,Right-arm offbreak,yes,1212cbec
1199434,Nangeyalia Kharote,Nangeyalia Kharote,Afghanistan,bowler,left,spin,left,Slow left-arm orthodox,yes,Nangeyalia Kharote,Afghanistan,spin,left,Slow left-arm orthodox,yes,75b8e198
524048,Nasir Jamal,Nasir Jamal,Afghanistan,batsman,right,spin,right,Off Break,yes,Nasir Jamal,Afghanistan,spin,right,Right-arm offbreak,yes,b430ec8c
793447,Naveen-ul-Haq Murid,Naveen-ul-Haq Murid,Afghanistan,bowler,right,pace,right,Right-arm medium-fast,yes,Naveen-ul-Haq,Afghanistan,pace,right,Right-arm medium-fast,yes,c0c411cb
913843,Nijat Masood,Nijat Masood,Afghanistan,bowler,right,pace,right,Right-arm medium,yes,Nijat Masood,Afghanistan,pace,right,Right-arm medium,yes,a1bf281e
1182529,Noor Lakanwal,Noor Ahmad Lakanwal,Afghanistan,bowler,right,spin,left,Left-arm wrist spin,yes,Noor Ahmad,Afghanistan,spin,left,Left-arm wrist-spin,yes,efc04be7
318340,Noor Zadran,Noor Ali Zadran,Afghanistan,batsman,right,pace,right,Right-arm medium-fast,yes,Noor Ali Zadran,Afghanistan,pace,right,Right-arm medium-fast,yes,72e46d30
914171,Qais Kamawal,Qais Ahmad Kamawal,Afghanistan,bowler,right,spin,right,Leg Break,yes,Qais Ahmad,Afghanistan,spin,right,Legbreak,yes,8d5d991e
974087,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Afghanistan,wicketkeeper-batsman,right,pace,right,Right-arm medium,yes,Rahmanullah Gurbaz,Afghanistan,pace,right,Right-arm medium,yes,0bacade8
533956,Rahmat Zurmatai,Rahmat Shah Zurmatai,Afghanistan,all-rounder,right,spin,right,Leg Break Googly,yes,Rahmat Shah,Afghanistan,spin,right,Legbreak googly,yes,f9c29fcd
793463,Rashid Khan,Rashid Khan,Afghanistan,bowler,right,spin,right,Legbreak Googly,no,,,,,,yes,5f547c8b
1061090,Riaz Hassan,Riaz Hassan,Afghanistan,batsman,right,,,,yes,Riaz Hassan,Afghanistan,,,,yes,33f8789e
976571,Said Mehboob,Said Bahir Shah Mehboob,Afghanistan,bowler,right,spin,right,Off Break,yes,Bahir Shah,Afghanistan,spin,right,Right-arm offbreak,yes,0439b7fb
318339,Samiullah Shinwari,Samiullah Shinwari,Afghanistan,all-rounder,right,spin,right,Leg Break,no,,,,,,yes,61646132
524050,Sayed Shirzad,Sayed Ahmad Shirzad,Afghanistan,bowler,right,pace,left,Left-arm medium,yes,Sayed Shirzad,Afghanistan,pace,left,Left-arm medium,yes,0ec1f412
1161050,Sediqullah Atal,Sediqullah Atal,Afghanistan,batsman,left,,,,yes,Sediqullah Atal,Afghanistan,,,,yes,3c28853f
633366,Shahidullah Kamal,Shahidullah Kamal,Afghanistan,bowler,left,spin,left,Slow left-arm orthodox,yes,Shahidullah,Afghanistan,spin,left,Slow left-arm orthodox,yes,82b90140
633362,Sharafuddin Ashraf,Sharafuddin Ashraf,Afghanistan,all-rounder,right,spin,left,Slow left-arm orthodox,yes,Sharafuddin Ashraf,Afghanistan,spin,left,Slow left-arm orthodox,yes,7e678d00
711559,Usman Ghani,Usman Ghani,Afghanistan,batsman,right,,,,yes,Usman Ghani,Afghanistan,,,,yes,e3829b2a
973945,Wafadar Momand,Wafadar Momand,Afghanistan,bowler,right,pace,right,Right-arm medium,yes,Wafadar Momand,Afghanistan,pace,right,Right-arm medium,yes,6b68d7b3
1364157,Wafiullah Tarakhil,Wafiullah Tarakhil,Afghanistan,batsman,right,,,,yes,Wafiullah Tarakhil,Afghanistan,,,,yes,626d183d
712219,Zahir Pakteen,Zahir Khan Pakteen,Afghanistan,bowler,left,spin,left,Left-arm wrist spin,yes,Zahir Khan,Afghanistan,spin,left,Left-arm wrist-spin,yes,786b7fe8
633374,Zia-ur-Rehman Akbar,Zia-ur-Rehman Akbar,Afghanistan,bowler,right,spin,left,Slow left-arm orthodox,yes,Zia-ur-Rehman,Afghanistan,spin,left,Slow left-arm orthodox,yes,fda22a2e
1015437,Zubairullah Akbari,Zubairullah Akbari,Afghanistan,bowler,left,spin,left,Slow left-arm orthodox,no,,,,,,yes,a18d14c7
