format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,bowlingTypeFaced,runs,balls,outs,average,strikeRate,fours,sixes,boundaryRuns,boundaryRunPercent,dotBalls,dotBallPercent,deliveriesSeen,metadataBowlerDeliveries,playerJsonBowlerDeliveries,dismissalKinds
test,662235,Josh Inglis,Joshua Patrick Inglis,Australia,wicketkeeper-batsman,right,yes,pace,71,118,5,14.2,60.17,6,0,24,33.8,79,66.95,120,109,11,bowled:3; caught:2
test,662235,Josh Inglis,Joshua Patrick Inglis,Australia,wicketkeeper-batsman,right,yes,spin,113,109,2,56.5,103.67,12,1,54,47.79,47,43.12,109,109,0,bowled:1; caught:1
test,1124282,Josh Philippe,Joshua Ryan Philippe,Australia,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1124282,Josh Philippe,Joshua Ryan Philippe,Australia,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,272262,Kane Richardson,Kane William Richardson,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,272262,Kane Richardson,Kane William Richardson,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,505110,Kurtis Patterson,Kurtis Robert Patterson,Australia,batsman,left,yes,pace,98,137,1,98.0,71.53,13,1,58,59.18,95,69.34,143,143,0,lbw:1
test,505110,Kurtis Patterson,Kurtis Robert Patterson,Australia,batsman,left,yes,spin,46,132,0,,34.85,4,0,16,34.78,103,78.03,132,132,0,
test,1125317,Lance Morris,Lance Richard Thomas Morris,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1125317,Lance Morris,Lance Richard Thomas Morris,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1076376,Liam Scott,Liam Alexander Hamilton Scott,Australia,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1076376,Liam Scott,Liam Alexander Hamilton Scott,Australia,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1393948,Mahli Beardman,Mahli Beardman,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1393948,Mahli Beardman,Mahli Beardman,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,434813,Marcus Harris,Marcus Sinclair Harris,Australia,batsman,left,yes,pace,511,1100,18,28.39,46.45,62,0,248,48.53,865,78.64,1117,1117,0,bowled:2; caught:14; lbw:2
test,434813,Marcus Harris,Marcus Sinclair Harris,Australia,batsman,left,yes,spin,96,210,6,16.0,45.71,11,0,44,45.83,155,73.81,210,210,0,bowled:2; caught:4
test,325012,Marcus Stoinis,Marcus Peter Stoinis,Australia,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,325012,Marcus Stoinis,Marcus Peter Stoinis,Australia,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,787987,Marnus Labuschagne,Marnus Labuschagne,Australia,batsman,right,yes,pace,2999,6302,71,42.24,47.59,374,3,1514,50.48,4879,77.42,6380,6207,173,bowled:9; caught:51; caught and bowled:1; lbw:9; run out:1
test,787987,Marnus Labuschagne,Marnus Labuschagne,Australia,batsman,right,yes,spin,1546,2430,31,49.87,63.62,139,12,628,40.62,1547,63.66,2432,2268,164,bowled:3; caught:15; caught and bowled:1; lbw:6; run out:3; stumped:3
test,774219,Matthew Kuhnemann,Matthew Paul Kuhnemann,Australia,bowler,left,yes,pace,7,23,1,7.0,30.43,0,0,0,0.0,19,82.61,23,23,0,bowled:1
test,774219,Matthew Kuhnemann,Matthew Paul Kuhnemann,Australia,bowler,left,yes,spin,11,44,3,3.67,25.0,2,0,8,72.73,40,90.91,44,44,0,bowled:2; lbw:1
